"trainer/global_step","Group: bpe-conversion - _step","Group: bpe-conversion - _step__MIN","Group: bpe-conversion - _step__MAX","Group: bpe-conversion - validation/loss_epoch","Group: bpe-conversion - validation/loss_epoch__MIN","Group: bpe-conversion - validation/loss_epoch__MAX","Group: bpe-2 - _step","Group: bpe-2 - _step__MIN","Group: bpe-2 - _step__MAX","Group: bpe-2 - validation/loss_epoch","Group: bpe-2 - validation/loss_epoch__MIN","Group: bpe-2 - validation/loss_epoch__MAX","Group: bpe-knockout-2 - _step","Group: bpe-knockout-2 - _step__MIN","Group: bpe-knockout-2 - _step__MAX","Group: bpe-knockout-2 - validation/loss_epoch","Group: bpe-knockout-2 - validation/loss_epoch__MIN","Group: bpe-knockout-2 - validation/loss_epoch__MAX"
"14343","","","","","","","284315","284315","284315","1.8763600587844849","1.8763600587844849","1.8763600587844849","595895","595895","595895","1.742846131324768","1.742846131324768","1.742846131324768"
"14437","","","","","","","288210","288210","288210","1.872501254081726","1.872501254081726","1.872501254081726","599790","599790","599790","1.745447039604187","1.745447039604187","1.745447039604187"
"14531","","","","","","","292105","292105","292105","1.8736696243286133","1.8736696243286133","1.8736696243286133","603685","603685","603685","1.7425905466079712","1.7425905466079712","1.7425905466079712"
"14624","","","","","","","296000","296000","296000","1.8633012771606445","1.8633012771606445","1.8633012771606445","607580","607580","607580","1.737976312637329","1.737976312637329","1.737976312637329"
"14718","","","","","","","299894","299894","299894","1.8606623411178589","1.8606623411178589","1.8606623411178589","611474","611474","611474","1.7387685775756836","1.7387685775756836","1.7387685775756836"
"14812","","","","","","","303789","303789","303789","1.8602008819580078","1.8602008819580078","1.8602008819580078","615369","615369","615369","1.7317014932632446","1.7317014932632446","1.7317014932632446"
"14906","","","","","","","307684","307684","307684","1.8576956987380981","1.8576956987380981","1.8576956987380981","619264","619264","619264","1.734886646270752","1.734886646270752","1.734886646270752"
"14999","","","","","","","311579","311579","311579","1.857063889503479","1.857063889503479","1.857063889503479","623159","623159","623159","1.7323426008224487","1.7323426008224487","1.7323426008224487"
"15093","","","","","","","315473","315473","315473","1.8452808856964111","1.8452808856964111","1.8452808856964111","627053","627053","627053","1.7241848707199097","1.7241848707199097","1.7241848707199097"
"15187","","","","","","","319368","319368","319368","1.8464512825012207","1.8464512825012207","1.8464512825012207","630948","630948","630948","1.7227425575256348","1.7227425575256348","1.7227425575256348"
"15281","","","","","","","323263","323263","323263","1.8400790691375732","1.8400790691375732","1.8400790691375732","634843","634843","634843","1.7238322496414185","1.7238322496414185","1.7238322496414185"
"15374","","","","","","","327158","327158","327158","1.840004801750183","1.840004801750183","1.840004801750183","638738","638738","638738","1.7200020551681519","1.7200020551681519","1.7200020551681519"
"15468","","","","","","","331052","331052","331052","1.8415985107421875","1.8415985107421875","1.8415985107421875","642632","642632","642632","1.7230349779129028","1.7230349779129028","1.7230349779129028"
"15562","","","","","","","334947","334947","334947","1.8318456411361694","1.8318456411361694","1.8318456411361694","646527","646527","646527","1.7171447277069092","1.7171447277069092","1.7171447277069092"
"15656","","","","","","","338842","338842","338842","1.831621766090393","1.831621766090393","1.831621766090393","650422","650422","650422","1.7093943357467651","1.7093943357467651","1.7093943357467651"
"15749","","","","","","","342737","342737","342737","1.826948881149292","1.826948881149292","1.826948881149292","654317","654317","654317","1.7084730863571167","1.7084730863571167","1.7084730863571167"
"15843","","","","","","","346631","346631","346631","1.8272104263305664","1.8272104263305664","1.8272104263305664","658211","658211","658211","1.7022660970687866","1.7022660970687866","1.7022660970687866"
"15937","","","","","","","350526","350526","350526","1.8214550018310547","1.8214550018310547","1.8214550018310547","662106","662106","662106","1.7020273208618164","1.7020273208618164","1.7020273208618164"
"16031","","","","","","","354421","354421","354421","1.8205739259719849","1.8205739259719849","1.8205739259719849","666001","666001","666001","1.7021784782409668","1.7021784782409668","1.7021784782409668"
"16124","","","","","","","358316","358316","358316","1.8269609212875366","1.8269609212875366","1.8269609212875366","669896","669896","669896","1.7026129961013794","1.7026129961013794","1.7026129961013794"
"16218","","","","","","","362210","362210","362210","1.8184325695037842","1.8184325695037842","1.8184325695037842","673790","673790","673790","1.6972259283065796","1.6972259283065796","1.6972259283065796"
"16312","","","","","","","366105","366105","366105","1.8168171644210815","1.8168171644210815","1.8168171644210815","677685","677685","677685","1.6907362937927246","1.6907362937927246","1.6907362937927246"
"16406","","","","","","","370000","370000","370000","1.808359980583191","1.808359980583191","1.808359980583191","681580","681580","681580","1.6936144828796387","1.6936144828796387","1.6936144828796387"
"16499","","","","","","","373895","373895","373895","1.8104262351989746","1.8104262351989746","1.8104262351989746","685475","685475","685475","1.6980870962142944","1.6980870962142944","1.6980870962142944"
"16593","","","","","","","377789","377789","377789","1.8117562532424927","1.8117562532424927","1.8117562532424927","689369","689369","689369","1.6877073049545288","1.6877073049545288","1.6877073049545288"
"16687","","","","","","","381684","381684","381684","1.8054121732711792","1.8054121732711792","1.8054121732711792","693264","693264","693264","1.6823958158493042","1.6823958158493042","1.6823958158493042"
"16781","","","","","","","385579","385579","385579","1.801285982131958","1.801285982131958","1.801285982131958","697159","697159","697159","1.689846396446228","1.689846396446228","1.689846396446228"
"16874","","","","","","","389474","389474","389474","1.7960917949676514","1.7960917949676514","1.7960917949676514","701054","701054","701054","1.6800098419189453","1.6800098419189453","1.6800098419189453"
"16968","","","","","","","393368","393368","393368","1.7968754768371582","1.7968754768371582","1.7968754768371582","704948","704948","704948","1.67427659034729","1.67427659034729","1.67427659034729"
"17062","","","","","","","397263","397263","397263","1.7968870401382446","1.7968870401382446","1.7968870401382446","3894","3894","3894","1.6768007278442383","1.6768007278442383","1.6768007278442383"
"17156","","","","","","","401158","401158","401158","1.7900735139846802","1.7900735139846802","1.7900735139846802","7789","7789","7789","1.6747881174087524","1.6747881174087524","1.6747881174087524"
"17249","","","","","","","405053","405053","405053","1.7908375263214111","1.7908375263214111","1.7908375263214111","11684","11684","11684","1.6693487167358398","1.6693487167358398","1.6693487167358398"
"17343","","","","","","","408947","408947","408947","1.7827577590942383","1.7827577590942383","1.7827577590942383","15578","15578","15578","1.6735680103302002","1.6735680103302002","1.6735680103302002"
"17437","","","","","","","412842","412842","412842","1.7888689041137695","1.7888689041137695","1.7888689041137695","19473","19473","19473","1.6724008321762085","1.6724008321762085","1.6724008321762085"
"17531","","","","","","","416737","416737","416737","1.7835431098937988","1.7835431098937988","1.7835431098937988","23368","23368","23368","1.6619023084640503","1.6619023084640503","1.6619023084640503"
"17624","","","","","","","420632","420632","420632","1.785632848739624","1.785632848739624","1.785632848739624","27263","27263","27263","1.6578449010849","1.6578449010849","1.6578449010849"
"17718","","","","","","","424526","424526","424526","1.7737070322036743","1.7737070322036743","1.7737070322036743","31157","31157","31157","1.6594395637512207","1.6594395637512207","1.6594395637512207"
"17812","","","","","","","428421","428421","428421","1.7786672115325928","1.7786672115325928","1.7786672115325928","35052","35052","35052","1.6637458801269531","1.6637458801269531","1.6637458801269531"
"17906","","","","","","","432316","432316","432316","1.779176115989685","1.779176115989685","1.779176115989685","38947","38947","38947","1.655855655670166","1.655855655670166","1.655855655670166"
"17999","","","","","","","436211","436211","436211","1.7700163125991821","1.7700163125991821","1.7700163125991821","42842","42842","42842","1.65547513961792","1.65547513961792","1.65547513961792"
"18093","","","","","","","440105","440105","440105","1.7727009057998657","1.7727009057998657","1.7727009057998657","46736","46736","46736","1.6563023328781128","1.6563023328781128","1.6563023328781128"
"18187","","","","","","","444000","444000","444000","1.7648662328720093","1.7648662328720093","1.7648662328720093","50631","50631","50631","1.6449410915374756","1.6449410915374756","1.6449410915374756"
"18281","","","","","","","447895","447895","447895","1.7628790140151978","1.7628790140151978","1.7628790140151978","54526","54526","54526","1.65259850025177","1.65259850025177","1.65259850025177"
"18374","","","","","","","451790","451790","451790","1.763464093208313","1.763464093208313","1.763464093208313","58421","58421","58421","1.6487751007080078","1.6487751007080078","1.6487751007080078"
"18468","","","","","","","455684","455684","455684","1.764365792274475","1.764365792274475","1.764365792274475","62315","62315","62315","1.642296552658081","1.642296552658081","1.642296552658081"
"18562","","","","","","","459579","459579","459579","1.758739709854126","1.758739709854126","1.758739709854126","66210","66210","66210","1.6430197954177856","1.6430197954177856","1.6430197954177856"
"18656","","","","","","","463474","463474","463474","1.7524372339248657","1.7524372339248657","1.7524372339248657","70105","70105","70105","1.6408673524856567","1.6408673524856567","1.6408673524856567"
"18749","","","","","","","467369","467369","467369","1.7524422407150269","1.7524422407150269","1.7524422407150269","74000","74000","74000","1.633178949356079","1.633178949356079","1.633178949356079"
"18843","","","","","","","471263","471263","471263","1.7532767057418823","1.7532767057418823","1.7532767057418823","77894","77894","77894","1.639178991317749","1.639178991317749","1.639178991317749"
"18937","","","","","","","475158","475158","475158","1.7544763088226318","1.7544763088226318","1.7544763088226318","81789","81789","81789","1.6364974975585938","1.6364974975585938","1.6364974975585938"
"19031","","","","","","","479053","479053","479053","1.7442817687988281","1.7442817687988281","1.7442817687988281","85684","85684","85684","1.6310739517211914","1.6310739517211914","1.6310739517211914"
"19124","","","","","","","482948","482948","482948","1.7440098524093628","1.7440098524093628","1.7440098524093628","89579","89579","89579","1.632585883140564","1.632585883140564","1.632585883140564"
"19218","","","","","","","486842","486842","486842","1.7443541288375854","1.7443541288375854","1.7443541288375854","93473","93473","93473","1.6287163496017456","1.6287163496017456","1.6287163496017456"
"19312","","","","","","","490737","490737","490737","1.7447513341903687","1.7447513341903687","1.7447513341903687","97368","97368","97368","1.6276018619537354","1.6276018619537354","1.6276018619537354"
"19406","","","","","","","494632","494632","494632","1.7370457649230957","1.7370457649230957","1.7370457649230957","101263","101263","101263","1.6223318576812744","1.6223318576812744","1.6223318576812744"
"19499","","","","","","","498527","498527","498527","1.7366209030151367","1.7366209030151367","1.7366209030151367","105158","105158","105158","1.6222426891326904","1.6222426891326904","1.6222426891326904"
"19593","","","","","","","502421","502421","502421","1.736562728881836","1.736562728881836","1.736562728881836","109052","109052","109052","1.6223002672195435","1.6223002672195435","1.6223002672195435"
"19687","","","","","","","506316","506316","506316","1.7325330972671509","1.7325330972671509","1.7325330972671509","112947","112947","112947","1.6211936473846436","1.6211936473846436","1.6211936473846436"
"19781","","","","","","","510211","510211","510211","1.7284154891967773","1.7284154891967773","1.7284154891967773","116842","116842","116842","1.6215488910675049","1.6215488910675049","1.6215488910675049"
"19874","","","","","","","514106","514106","514106","1.7232823371887207","1.7232823371887207","1.7232823371887207","120737","120737","120737","1.6183439493179321","1.6183439493179321","1.6183439493179321"
"19968","","","","","","","518000","518000","518000","1.7284481525421143","1.7284481525421143","1.7284481525421143","124631","124631","124631","1.6237918138504028","1.6237918138504028","1.6237918138504028"
"20062","","","","","","","521895","521895","521895","1.7219667434692383","1.7219667434692383","1.7219667434692383","128526","128526","128526","1.6095056533813477","1.6095056533813477","1.6095056533813477"
"20156","","","","","","","525790","525790","525790","1.7242745161056519","1.7242745161056519","1.7242745161056519","132421","132421","132421","1.6080825328826904","1.6080825328826904","1.6080825328826904"
"20249","","","","","","","529685","529685","529685","1.7199984788894653","1.7199984788894653","1.7199984788894653","136316","136316","136316","1.6066796779632568","1.6066796779632568","1.6066796779632568"
"20343","","","","","","","533579","533579","533579","1.7254234552383423","1.7254234552383423","1.7254234552383423","140210","140210","140210","1.6141390800476074","1.6141390800476074","1.6141390800476074"
"20437","","","","","","","537474","537474","537474","1.722416877746582","1.722416877746582","1.722416877746582","144105","144105","144105","1.6137501001358032","1.6137501001358032","1.6137501001358032"
"20531","","","","","","","541369","541369","541369","1.7266064882278442","1.7266064882278442","1.7266064882278442","148000","148000","148000","1.6014033555984497","1.6014033555984497","1.6014033555984497"
"20624","","","","","","","545264","545264","545264","1.7113251686096191","1.7113251686096191","1.7113251686096191","151895","151895","151895","1.6072216033935547","1.6072216033935547","1.6072216033935547"
"20718","","","","","","","549158","549158","549158","1.7051563262939453","1.7051563262939453","1.7051563262939453","155789","155789","155789","1.602748155593872","1.602748155593872","1.602748155593872"
"20812","","","","","","","553053","553053","553053","1.7070115804672241","1.7070115804672241","1.7070115804672241","159684","159684","159684","1.6029940843582153","1.6029940843582153","1.6029940843582153"
"20906","","","","","","","556948","556948","556948","1.7095401287078857","1.7095401287078857","1.7095401287078857","163579","163579","163579","1.591349720954895","1.591349720954895","1.591349720954895"
"20999","","","","","","","560843","560843","560843","1.7088698148727417","1.7088698148727417","1.7088698148727417","167474","167474","167474","1.592250108718872","1.592250108718872","1.592250108718872"
"21093","","","","","","","564737","564737","564737","1.7063106298446655","1.7063106298446655","1.7063106298446655","171368","171368","171368","1.6031800508499146","1.6031800508499146","1.6031800508499146"
"21187","","","","","","","568632","568632","568632","1.702353835105896","1.702353835105896","1.702353835105896","175263","175263","175263","1.5909206867218018","1.5909206867218018","1.5909206867218018"
"21281","","","","","","","572527","572527","572527","1.7059556245803833","1.7059556245803833","1.7059556245803833","179158","179158","179158","1.5829486846923828","1.5829486846923828","1.5829486846923828"
"21374","","","","","","","576422","576422","576422","1.700989007949829","1.700989007949829","1.700989007949829","183053","183053","183053","1.5885791778564453","1.5885791778564453","1.5885791778564453"
"21468","","","","","","","580316","580316","580316","1.6996549367904663","1.6996549367904663","1.6996549367904663","186947","186947","186947","1.587255835533142","1.587255835533142","1.587255835533142"
"21562","","","","","","","584211","584211","584211","1.6934598684310913","1.6934598684310913","1.6934598684310913","190842","190842","190842","1.5922328233718872","1.5922328233718872","1.5922328233718872"
"21656","","","","","","","588106","588106","588106","1.699591040611267","1.699591040611267","1.699591040611267","194737","194737","194737","1.5907212495803833","1.5907212495803833","1.5907212495803833"
"21749","","","","","","","592001","592001","592001","1.6954151391983032","1.6954151391983032","1.6954151391983032","198632","198632","198632","1.586958646774292","1.586958646774292","1.586958646774292"
"21843","","","","","","","595895","595895","595895","1.6944382190704346","1.6944382190704346","1.6944382190704346","202526","202526","202526","1.5857799053192139","1.5857799053192139","1.5857799053192139"
"21937","","","","","","","599790","599790","599790","1.6875745058059692","1.6875745058059692","1.6875745058059692","206421","206421","206421","1.5819648504257202","1.5819648504257202","1.5819648504257202"
"22031","","","","","","","603685","603685","603685","1.687943696975708","1.687943696975708","1.687943696975708","210316","210316","210316","1.5777260065078735","1.5777260065078735","1.5777260065078735"
"22124","","","","","","","607580","607580","607580","1.6926523447036743","1.6926523447036743","1.6926523447036743","214211","214211","214211","1.5788956880569458","1.5788956880569458","1.5788956880569458"
"22218","","","","","","","611474","611474","611474","1.6856498718261719","1.6856498718261719","1.6856498718261719","218105","218105","218105","1.5717859268188477","1.5717859268188477","1.5717859268188477"
"22312","","","","","","","615369","615369","615369","1.6878983974456787","1.6878983974456787","1.6878983974456787","222000","222000","222000","1.5741444826126099","1.5741444826126099","1.5741444826126099"
"22406","","","","","","","619264","619264","619264","1.6838821172714233","1.6838821172714233","1.6838821172714233","225895","225895","225895","1.5710011720657349","1.5710011720657349","1.5710011720657349"
"22499","","","","","","","623159","623159","623159","1.674780011177063","1.674780011177063","1.674780011177063","229790","229790","229790","1.5753637552261353","1.5753637552261353","1.5753637552261353"
"22593","","","","","","","627053","627053","627053","1.6803175210952759","1.6803175210952759","1.6803175210952759","233684","233684","233684","1.5690680742263794","1.5690680742263794","1.5690680742263794"
"22687","","","","","","","630948","630948","630948","1.6769390106201172","1.6769390106201172","1.6769390106201172","237579","237579","237579","1.567664384841919","1.567664384841919","1.567664384841919"
"22781","","","","","","","634843","634843","634843","1.6788604259490967","1.6788604259490967","1.6788604259490967","241474","241474","241474","1.564582109451294","1.564582109451294","1.564582109451294"
"22874","","","","","","","638738","638738","638738","1.673243522644043","1.673243522644043","1.673243522644043","245369","245369","245369","1.5702295303344727","1.5702295303344727","1.5702295303344727"
"22968","","","","","","","642632","642632","642632","1.6779881715774536","1.6779881715774536","1.6779881715774536","249263","249263","249263","1.566802740097046","1.566802740097046","1.566802740097046"
"23062","","","","","","","646527","646527","646527","1.6748474836349487","1.6748474836349487","1.6748474836349487","253158","253158","253158","1.5648460388183594","1.5648460388183594","1.5648460388183594"
"23156","","","","","","","650422","650422","650422","1.6686285734176636","1.6686285734176636","1.6686285734176636","257053","257053","257053","1.5630601644515991","1.5630601644515991","1.5630601644515991"
"23249","","","","","","","654317","654317","654317","1.668576717376709","1.668576717376709","1.668576717376709","260948","260948","260948","1.5628966093063354","1.5628966093063354","1.5628966093063354"
"23343","","","","","","","658211","658211","658211","1.6676276922225952","1.6676276922225952","1.6676276922225952","264842","264842","264842","1.5614737272262573","1.5614737272262573","1.5614737272262573"
"23437","","","","","","","662106","662106","662106","1.6634235382080078","1.6634235382080078","1.6634235382080078","268737","268737","268737","1.556368350982666","1.556368350982666","1.556368350982666"
"23531","","","","","","","666001","666001","666001","1.6692129373550415","1.6692129373550415","1.6692129373550415","272632","272632","272632","1.5538996458053589","1.5538996458053589","1.5538996458053589"
"23624","","","","","","","669896","669896","669896","1.6651322841644287","1.6651322841644287","1.6651322841644287","276527","276527","276527","1.5518312454223633","1.5518312454223633","1.5518312454223633"
"23718","","","","","","","673790","673790","673790","1.666204810142517","1.666204810142517","1.666204810142517","280421","280421","280421","1.5581632852554321","1.5581632852554321","1.5581632852554321"
"23812","","","","","","","677685","677685","677685","1.660908579826355","1.660908579826355","1.660908579826355","284316","284316","284316","1.5534125566482544","1.5534125566482544","1.5534125566482544"
"23906","","","","","","","681580","681580","681580","1.6633286476135254","1.6633286476135254","1.6633286476135254","288211","288211","288211","1.5511897802352905","1.5511897802352905","1.5511897802352905"
"23999","","","","","","","685475","685475","685475","1.6554219722747803","1.6554219722747803","1.6554219722747803","292106","292106","292106","1.551529884338379","1.551529884338379","1.551529884338379"
"24093","","","","","","","689369","689369","689369","1.6627655029296875","1.6627655029296875","1.6627655029296875","296000","296000","296000","1.553274393081665","1.553274393081665","1.553274393081665"
"24187","","","","","","","693264","693264","693264","1.6524956226348877","1.6524956226348877","1.6524956226348877","299895","299895","299895","1.5447543859481812","1.5447543859481812","1.5447543859481812"
"24281","","","","","","","697159","697159","697159","1.6508855819702148","1.6508855819702148","1.6508855819702148","303790","303790","303790","1.5451555252075195","1.5451555252075195","1.5451555252075195"
"24374","","","","","","","701054","701054","701054","1.6527575254440308","1.6527575254440308","1.6527575254440308","307685","307685","307685","1.541734218597412","1.541734218597412","1.541734218597412"
"24468","","","","","","","704948","704948","704948","1.6484795808792114","1.6484795808792114","1.6484795808792114","311579","311579","311579","1.5443474054336548","1.5443474054336548","1.5443474054336548"
"24562","","","","","","","708843","708843","708843","1.6531919240951538","1.6531919240951538","1.6531919240951538","315474","315474","315474","1.5343157052993774","1.5343157052993774","1.5343157052993774"
"24656","","","","","","","712738","712738","712738","1.647040843963623","1.647040843963623","1.647040843963623","319369","319369","319369","1.538488507270813","1.538488507270813","1.538488507270813"
"24749","","","","","","","3894","3894","3894","1.6492758989334106","1.6492758989334106","1.6492758989334106","323264","323264","323264","1.535279631614685","1.535279631614685","1.535279631614685"
"24843","","","","","","","7788","7788","7788","1.643560767173767","1.643560767173767","1.643560767173767","327158","327158","327158","1.5354152917861938","1.5354152917861938","1.5354152917861938"
"24937","","","","","","","11683","11683","11683","1.6422734260559082","1.6422734260559082","1.6422734260559082","331053","331053","331053","1.538806438446045","1.538806438446045","1.538806438446045"
"25031","","","","","","","15578","15578","15578","1.6436506509780884","1.6436506509780884","1.6436506509780884","334948","334948","334948","1.5324658155441284","1.5324658155441284","1.5324658155441284"
"25124","","","","","","","19473","19473","19473","1.6435304880142212","1.6435304880142212","1.6435304880142212","338843","338843","338843","1.5347747802734375","1.5347747802734375","1.5347747802734375"
"25218","","","","","","","23367","23367","23367","1.6348954439163208","1.6348954439163208","1.6348954439163208","342737","342737","342737","1.5337432622909546","1.5337432622909546","1.5337432622909546"
"25312","","","","","","","27262","27262","27262","1.6336504220962524","1.6336504220962524","1.6336504220962524","346632","346632","346632","1.5380496978759766","1.5380496978759766","1.5380496978759766"
"25406","","","","","","","31157","31157","31157","1.637288212776184","1.637288212776184","1.637288212776184","350527","350527","350527","1.5285216569900513","1.5285216569900513","1.5285216569900513"
"25499","","","","","","","35052","35052","35052","1.6398199796676636","1.6398199796676636","1.6398199796676636","354422","354422","354422","1.5322277545928955","1.5322277545928955","1.5322277545928955"
"25593","","","","","","","38946","38946","38946","1.6325674057006836","1.6325674057006836","1.6325674057006836","358316","358316","358316","1.5356671810150146","1.5356671810150146","1.5356671810150146"
"25687","","","","","","","42841","42841","42841","1.6402925252914429","1.6402925252914429","1.6402925252914429","362211","362211","362211","1.5287270545959473","1.5287270545959473","1.5287270545959473"
"25781","","","","","","","46736","46736","46736","1.6347652673721313","1.6347652673721313","1.6347652673721313","366106","366106","366106","1.525363564491272","1.525363564491272","1.525363564491272"
"25874","","","","","","","50631","50631","50631","1.6276540756225586","1.6276540756225586","1.6276540756225586","370001","370001","370001","1.5246835947036743","1.5246835947036743","1.5246835947036743"
"25968","","","","","","","54525","54525","54525","1.634042739868164","1.634042739868164","1.634042739868164","373895","373895","373895","1.5280898809432983","1.5280898809432983","1.5280898809432983"
"26062","","","","","","","58420","58420","58420","1.6313270330429077","1.6313270330429077","1.6313270330429077","377790","377790","377790","1.530029535293579","1.530029535293579","1.530029535293579"
"26156","","","","","","","62315","62315","62315","1.6322251558303833","1.6322251558303833","1.6322251558303833","381685","381685","381685","1.5256353616714478","1.5256353616714478","1.5256353616714478"
"26249","","","","","","","66210","66210","66210","1.6283221244812012","1.6283221244812012","1.6283221244812012","385580","385580","385580","1.5189465284347534","1.5189465284347534","1.5189465284347534"
"26343","","","","","","","70104","70104","70104","1.6284414529800415","1.6284414529800415","1.6284414529800415","389474","389474","389474","1.518401026725769","1.518401026725769","1.518401026725769"
"26437","","","","","","","73999","73999","73999","1.6232750415802002","1.6232750415802002","1.6232750415802002","393369","393369","393369","1.5239391326904297","1.5239391326904297","1.5239391326904297"
"26531","","","","","","","77894","77894","77894","1.6252926588058472","1.6252926588058472","1.6252926588058472","397264","397264","397264","1.5165388584136963","1.5165388584136963","1.5165388584136963"
"26624","","","","","","","81789","81789","81789","1.6246697902679443","1.6246697902679443","1.6246697902679443","401159","401159","401159","1.519572138786316","1.519572138786316","1.519572138786316"
"26718","","","","","","","85683","85683","85683","1.624843955039978","1.624843955039978","1.624843955039978","405053","405053","405053","1.5178745985031128","1.5178745985031128","1.5178745985031128"
"26812","","","","","","","89578","89578","89578","1.6229195594787598","1.6229195594787598","1.6229195594787598","408948","408948","408948","1.5127098560333252","1.5127098560333252","1.5127098560333252"
"26906","","","","","","","93473","93473","93473","1.6173758506774902","1.6173758506774902","1.6173758506774902","412843","412843","412843","1.514155626296997","1.514155626296997","1.514155626296997"
"26999","","","","","","","97368","97368","97368","1.6193537712097168","1.6193537712097168","1.6193537712097168","416738","416738","416738","1.5105353593826294","1.5105353593826294","1.5105353593826294"
"27093","","","","","","","101262","101262","101262","1.61601984500885","1.61601984500885","1.61601984500885","420632","420632","420632","1.514278531074524","1.514278531074524","1.514278531074524"
"27187","","","","","","","105157","105157","105157","1.6192699670791626","1.6192699670791626","1.6192699670791626","424527","424527","424527","1.5153447389602661","1.5153447389602661","1.5153447389602661"
"27281","","","","","","","109052","109052","109052","1.6216435432434082","1.6216435432434082","1.6216435432434082","428422","428422","428422","1.5123800039291382","1.5123800039291382","1.5123800039291382"
"27374","","","","","","","112947","112947","112947","1.6115189790725708","1.6115189790725708","1.6115189790725708","432317","432317","432317","1.5056500434875488","1.5056500434875488","1.5056500434875488"
"27468","","","","","","","116841","116841","116841","1.6119319200515747","1.6119319200515747","1.6119319200515747","436211","436211","436211","1.5091782808303833","1.5091782808303833","1.5091782808303833"
"27562","","","","","","","120736","120736","120736","1.61806058883667","1.61806058883667","1.61806058883667","440106","440106","440106","1.5051578283309937","1.5051578283309937","1.5051578283309937"
"27656","","","","","","","124631","124631","124631","1.612189531326294","1.612189531326294","1.612189531326294","444001","444001","444001","1.5042049884796143","1.5042049884796143","1.5042049884796143"
"27749","","","","","","","128526","128526","128526","1.609819769859314","1.609819769859314","1.609819769859314","447896","447896","447896","1.4997882843017578","1.4997882843017578","1.4997882843017578"
"27843","","","","","","","132420","132420","132420","1.6082043647766113","1.6082043647766113","1.6082043647766113","451790","451790","451790","1.5019577741622925","1.5019577741622925","1.5019577741622925"
"27937","","","","","","","136315","136315","136315","1.6038538217544556","1.6038538217544556","1.6038538217544556","455685","455685","455685","1.499261736869812","1.499261736869812","1.499261736869812"
"28031","","","","","","","140210","140210","140210","1.6090246438980103","1.6090246438980103","1.6090246438980103","459580","459580","459580","1.500637412071228","1.500637412071228","1.500637412071228"
"28124","","","","","","","144105","144105","144105","1.5997713804244995","1.5997713804244995","1.5997713804244995","463475","463475","463475","1.4995324611663818","1.4995324611663818","1.4995324611663818"
"28218","","","","","","","147999","147999","147999","1.6021956205368042","1.6021956205368042","1.6021956205368042","467369","467369","467369","1.5026040077209473","1.5026040077209473","1.5026040077209473"
"28312","","","","","","","151894","151894","151894","1.6054580211639404","1.6054580211639404","1.6054580211639404","471264","471264","471264","1.500040888786316","1.500040888786316","1.500040888786316"
"28406","","","","","","","155789","155789","155789","1.6013084650039673","1.6013084650039673","1.6013084650039673","475159","475159","475159","1.4975945949554443","1.4975945949554443","1.4975945949554443"
"28499","","","","","","","159684","159684","159684","1.6002252101898193","1.6002252101898193","1.6002252101898193","479054","479054","479054","1.495244026184082","1.495244026184082","1.495244026184082"
"28593","","","","","","","163578","163578","163578","1.6048774719238281","1.6048774719238281","1.6048774719238281","482948","482948","482948","1.4944310188293457","1.4944310188293457","1.4944310188293457"
"28687","","","","","","","167473","167473","167473","1.6002545356750488","1.6002545356750488","1.6002545356750488","486843","486843","486843","1.491136908531189","1.491136908531189","1.491136908531189"
